@id,@lon,@lat,name:en
411009859,21.4253358,41.9955693,Strip
459670767,21.4310013,41.9952414,Caffe Skopje
459670779,21.4301082,41.9933851,Living Room
459670881,21.429836,41.992653,Play Cafe
459752642,21.4373453,41.9984414,Opera
1867057768,21.4242955,41.9999243,Manhattan Café
1867057829,21.4244321,42.0000537,All Day
2054895230,21.4324491,41.9950653,Up Cafe
2105387329,21.4245305,41.9979705,Spalato
2105387346,21.4246981,41.9977664,Shakespear
2105387375,21.4244739,41.9978101,PubPorta
2814545377,21.4308204,41.9955477,Bokata
2814545378,21.4308588,41.9949424,Drama Coffee House
2929091663,21.4371455,42.0024952,Kursumli An
2929091664,21.437098,42.0022275,Galerija and Papilon
2929091665,21.4369144,42.0024811,Mon frere
2929091666,21.4371461,42.0025932,Stretto café
2929091667,21.4371444,42.0023211,GalerijaBadaBoom
2929091668,21.4370842,42.0025934,La Kana
2929091670,21.4370986,42.0023213,Shot Bar Bezisten
2929091673,21.4369153,42.0026075,Street Kafe
2929091674,21.4369063,42.0024812,HOSH
2992591829,21.4370632,42.0017629,Cafe Old Bazaar
3101725379,21.4368849,41.999241,Old Town
3101726037,21.4358699,42.0000003,Nargile Café
3103985004,21.4330712,41.9958677,Telekom Trend Lounge Bar
3341289752,21.4306195,41.9944452,Bistro Skopje
3341289753,21.430365,41.9938562,Gnezdo
3341289786,21.4302256,41.9929701,Caffe Novo
3341289788,21.4298728,41.9927362,Dolce Vita
3341289790,21.4293734,41.9923772,Corsso
3625131447,21.4241826,41.9999902,Trocadero
3862461317,21.4243192,42.0001195,Deus
4127702158,21.4300256,41.9931843,White Horse
4127702159,21.4296507,41.9931962,Kimbo
4127702163,21.4300492,41.9932417,Groove Coffe & Bar
4127702164,21.4299199,41.9932552,Avanti Mediterranean
4127702165,21.4299195,41.9933077,Caffe Bar Studio 54
4127702166,21.4296562,41.9933139,Gorki
4304451302,21.4366103,41.9994358,Clique Bar
4417670004,21.4247547,41.9979267,Vulkan
4846704245,21.4271773,41.9954521,Krin
5110720231,21.4375923,42.0011325,Shisha
5604182920,21.4253762,41.9986406,Vinyl
5690140438,21.4264143,41.9922468,DejaVu
5690140660,21.4266738,41.9922273,Istanbul
6018277485,21.4284228,41.9971825,Squeeze Me
6032865285,21.4361778,42.0002555,k8
6054032912,21.428439,41.9970171,Manda Coffee bar
6054035625,21.427602,41.9938495,Coffee Therapy
6054050095,21.4244255,41.9980418,Mozzart
6387796925,21.4368966,42.0023166,Arasta
6577887485,21.4263142,41.9992458,Vegan365Kitchen
6680280012,21.4368049,41.9994044,Boomerang Shisha
6802029812,21.4297354,41.9973064,Home Brews
6814231792,21.4370091,41.9999671,Urban
6814246690,21.4364615,42.0003942,Coffe Tearoom Lachi
6814246723,21.4373153,41.999797,Bomonti
6821158386,21.4385935,42.0030613,Kairo
6821158388,21.4304151,41.9940274,Stay you
6821158389,21.4300488,41.9924937,JJ&S
6821158686,21.434633,41.9976507,Mulliri
6821158695,21.430389,41.9939851,MIG
6827032732,21.438158,42.0009497,Gallery 7
6827072094,21.4406076,42.0027924,Kafeteria Portokalia
6827074010,21.4402065,42.0027827,Sulltan Kejf
6967285685,21.4246771,41.9979406,Short bus
1E+15,21.4243073,42.0000219,Juice Bar
1E+15,21.4246142,41.9978684,Ljubov
1E+15,21.437021,42.0024175,Evlija Chelebija
1E+15,21.4298499,41.9932491,Cafe Barcelona
